gameid,date,game_num,blue,red,url
LOLTMNT04_106978,2025-04-28 19:02:43,3,Team Vitality,Team BDS,
LOLTMNT05_130051,2025-05-03 15:09:16,1,Fnatic,Team BDS,
LOLTMNT05_130052,2025-05-03 16:14:25,2,Fnatic,Team BDS,
LOLTMNT05_130053,2025-05-03 17:11:00,1,Karmine Corp,Rogue,
LOLTMNT05_130060,2025-05-03 18:03:58,2,Karmine Corp,Rogue,
LOLTMNT05_130075,2025-05-04 15:08:14,1,GiantX,Team BDS,
LOLTMNT05_130076,2025-05-04 16:13:46,2,GiantX,Team BDS,
LOLTMNT05_131093,2025-05-04 17:09:16,1,G2 Esports,Team Vitality,
LOLTMNT05_130088,2025-05-04 17:56:46,2,G2 Esports,Team Vitality,
LOLTMNT05_131176,2025-05-05 15:07:50,1,Fnatic,Team Heretics,
LOLTMNT05_131180,2025-05-05 15:57:04,2,Team Heretics,Fnatic,
LOLTMNT05_131182,2025-05-05 16:44:05,1,Movistar KOI,SK Gaming,
LOLTMNT05_130177,2025-05-05 17:33:32,2,SK Gaming,Movistar KOI,
LOLTMNT05_130653,2025-05-10 15:17:02,1,SK Gaming,G2 Esports,
LOLTMNT05_130654,2025-05-10 16:08:33,2,G2 Esports,SK Gaming,
LOLTMNT05_131696,2025-05-10 18:24:32,1,Team Vitality,Karmine Corp,
LOLTMNT05_131697,2025-05-10 19:16:52,2,Team Vitality,Karmine Corp,
LOLTMNT05_131698,2025-05-10 20:20:57,3,Karmine Corp,Team Vitality,
LOLTMNT05_130721,2025-05-11 15:13:45,1,SK Gaming,Team Vitality,
LOLTMNT05_131763,2025-05-11 16:11:30,2,Team Vitality,SK Gaming,
LOLTMNT05_131765,2025-05-11 17:22:16,1,G2 Esports,Karmine Corp,
LOLTMNT05_130732,2025-05-11 18:19:31,2,Karmine Corp,G2 Esports,
LOLTMNT05_130733,2025-05-11 19:12:55,3,G2 Esports,Karmine Corp,
LOLTMNT05_130766,2025-05-12 15:07:44,1,Team Heretics,GiantX,
LOLTMNT05_131798,2025-05-12 15:57:46,2,Team Heretics,GiantX,
LOLTMNT05_131801,2025-05-12 16:51:21,1,Rogue,Movistar KOI,
LOLTMNT05_131808,2025-05-12 17:43:15,2,Rogue,Movistar KOI,
LOLTMNT05_131854,2025-05-13 18:08:09,1,Team Heretics,Team Vitality,
LOLTMNT06_121629,2025-05-24 15:09:25,1,Fnatic,G2 Esports,
LOLTMNT06_120664,2025-05-24 15:58:13,2,G2 Esports,Fnatic,
LOLTMNT06_121630,2025-05-24 16:46:47,3,Fnatic,G2 Esports,
LOLTMNT06_121631,2025-05-24 17:41:57,4,Fnatic,G2 Esports,
LOLTMNT06_120697,2025-05-25 15:08:50,1,Karmine Corp,Movistar KOI,
