oracle_gameid,esports_game_id,tournament,date,start_time,blue,red,game_num
LOLTMNT05_131697,113487475359325271,lec_spring_2025,2025-05-10 19:16:52,2025-05-10T17:00:00Z,Team Vitality,Karmine Corp,2
LOLTMNT05_131698,113487475359325272,lec_spring_2025,2025-05-10 20:20:57,2025-05-10T17:00:00Z,Karmine Corp,Team Vitality,3
LOLTMNT05_130721,113487475359325258,lec_spring_2025,2025-05-11 15:13:45,2025-05-11T15:00:00Z,SK Gaming,Team Vitality,1
LOLTMNT05_131763,113487475359325259,lec_spring_2025,2025-05-11 16:11:30,2025-05-11T15:00:00Z,Team Vitality,SK Gaming,2
LOLTMNT05_131765,113487475359325358,lec_spring_2025,2025-05-11 17:22:16,2025-05-11T17:00:00Z,G2 Esports,Karmine Corp,1
LOLTMNT05_130732,113487475359325359,lec_spring_2025,2025-05-11 18:19:31,2025-05-11T17:00:00Z,Karmine Corp,G2 Esports,2
LOLTMNT05_130733,113487475359325360,lec_spring_2025,2025-05-11 19:12:55,2025-05-11T17:00:00Z,G2 Esports,Karmine Corp,3
LOLTMNT05_130766,113487475359259658,lec_spring_2025,2025-05-12 15:07:44,2025-05-12T15:00:00Z,Team Heretics,GiantX,1
LOLTMNT05_131798,113487475359259659,lec_spring_2025,2025-05-12 15:57:46,2025-05-12T15:00:00Z,Team Heretics,GiantX,2
LOLTMNT05_131801,113487475359325234,lec_spring_2025,2025-05-12 16:51:21,2025-05-12T17:00:00Z,Rogue,Movistar KOI,1
LOLTMNT05_131808,113487475359325235,lec_spring_2025,2025-05-12 17:43:15,2025-05-12T17:00:00Z,Rogue,Movistar KOI,2
LOLTMNT05_131854,114499885041404290,lec_spring_2025,2025-05-13 18:08:09,2025-05-13T18:00:00Z,Team Heretics,Team Vitality,1
LOLTMNT06_121629,113487475359325368,lec_spring_2025,2025-05-24 15:09:25,2025-05-24T15:00:00Z,Fnatic,G2 Esports,1
LOLTMNT06_120664,113487475359325369,lec_spring_2025,2025-05-24 15:58:13,2025-05-24T15:00:00Z,G2 Esports,Fnatic,2
LOLTMNT06_121630,113487475359325370,lec_spring_2025,2025-05-24 16:46:47,2025-05-24T15:00:00Z,Fnatic,G2 Esports,3
LOLTMNT06_121631,113487475359325371,lec_spring_2025,2025-05-24 17:41:57,2025-05-24T15:00:00Z,Fnatic,G2 Esports,4
