tournament,startTime,match_id,esports_game_id,game_num,team_a_code,team_a_name,team_b_code,team_b_name,state,has_vods
lec_spring_2025,2025-04-07T17:00:00Z,113487475359259665,113487475359259668,3,MKOI,Movistar KOI,TH,Team Heretics,,0
lec_spring_2025,2025-04-12T12:00:00Z,113487475359259653,113487475359259654,1,TH,Team Heretics,SHFT,Shifters,,1
lec_spring_2025,2025-04-12T12:00:00Z,113487475359259653,113487475359259655,2,TH,Team Heretics,SHFT,Shifters,,1
lec_spring_2025,2025-04-12T12:00:00Z,113487475359259653,113487475359259656,3,TH,Team Heretics,SHFT,Shifters,,1
lec_spring_2025,2025-04-12T14:00:00Z,113487475359325245,113487475359325246,1,RGE,Rogue,G2,G2 Esports,,1
lec_spring_2025,2025-04-12T14:00:00Z,113487475359325245,113487475359325247,2,RGE,Rogue,G2,G2 Esports,,1
lec_spring_2025,2025-04-12T14:00:00Z,113487475359325245,113487475359325248,3,RGE,Rogue,G2,G2 Esports,,0
lec_spring_2025,2025-04-12T16:00:00Z,113487475359325329,113487475359325330,1,KC,Karmine Corp,SK,SK Gaming,,1
lec_spring_2025,2025-04-12T16:00:00Z,113487475359325329,113487475359325331,2,KC,Karmine Corp,SK,SK Gaming,,1
lec_spring_2025,2025-04-12T16:00:00Z,113487475359325329,113487475359325332,3,KC,Karmine Corp,SK,SK Gaming,,0
lec_spring_2025,2025-04-13T15:00:00Z,113487475359325265,113487475359325266,1,VIT,Team Vitality,FNC,Fnatic,,1
lec_spring_2025,2025-04-13T15:00:00Z,113487475359325265,113487475359325267,2,VIT,Team Vitality,FNC,Fnatic,,1
lec_spring_2025,2025-04-13T15:00:00Z,113487475359325265,113487475359325268,3,VIT,Team Vitality,FNC,Fnatic,,0
lec_spring_2025,2025-04-13T17:00:00Z,113487475359325285,113487475359325286,1,SHFT,Shifters,MKOI,Movistar KOI,,1
lec_spring_2025,2025-04-13T17:00:00Z,113487475359325285,113487475359325287,2,SHFT,Shifters,MKOI,Movistar KOI,,1
lec_spring_2025,2025-04-13T17:00:00Z,113487475359325285,113487475359325288,3,SHFT,Shifters,MKOI,Movistar KOI,,0
lec_spring_2025,2025-04-14T15:00:00Z,113487475359325301,113487475359325302,1,GX,GIANTX,SK,SK Gaming,,1
lec_spring_2025,2025-04-14T15:00:00Z,113487475359325301,113487475359325303,2,GX,GIANTX,SK,SK Gaming,,1
lec_spring_2025,2025-04-14T15:00:00Z,113487475359325301,113487475359325304,3,GX,GIANTX,SK,SK Gaming,,0
lec_spring_2025,2025-04-14T17:00:00Z,113487475359259673,113487475359259674,1,TH,Team Heretics,KC,Karmine Corp,,1
lec_spring_2025,2025-04-14T17:00:00Z,113487475359259673,113487475359259675,2,TH,Team Heretics,KC,Karmine Corp,,1
lec_spring_2025,2025-04-14T17:00:00Z,113487475359259673,113487475359259676,3,TH,Team Heretics,KC,Karmine Corp,,1
lec_spring_2025,2025-04-19T15:00:00Z,113487475359325237,113487475359325238,1,FNC,Fnatic,RGE,Rogue,,1
lec_spring_2025,2025-04-19T15:00:00Z,113487475359325237,113487475359325239,2,FNC,Fnatic,RGE,Rogue,,1
lec_spring_2025,2025-04-19T15:00:00Z,113487475359325237,113487475359325240,3,FNC,Fnatic,RGE,Rogue,,0
lec_spring_2025,2025-04-19T17:00:00Z,113487475359325313,113487475359325314,1,KC,Karmine Corp,GX,GIANTX,,1
lec_spring_2025,2025-04-19T17:00:00Z,113487475359325313,113487475359325315,2,KC,Karmine Corp,GX,GIANTX,,1
lec_spring_2025,2025-04-19T17:00:00Z,113487475359325313,113487475359325316,3,KC,Karmine Corp,GX,GIANTX,,1
lec_spring_2025,2025-04-20T15:00:00Z,113487475359259649,113487475359259650,1,TH,Team Heretics,VIT,Team Vitality,,1
lec_spring_2025,2025-04-20T15:00:00Z,113487475359259649,113487475359259651,2,TH,Team Heretics,VIT,Team Vitality,,1
lec_spring_2025,2025-04-20T15:00:00Z,113487475359259649,113487475359259652,3,TH,Team Heretics,VIT,Team Vitality,,0
lec_spring_2025,2025-04-20T17:00:00Z,113487475359325297,113487475359325298,1,SHFT,Shifters,G2,G2 Esports,,1
lec_spring_2025,2025-04-20T17:00:00Z,113487475359325297,113487475359325299,2,SHFT,Shifters,G2,G2 Esports,,1
lec_spring_2025,2025-04-20T17:00:00Z,113487475359325297,113487475359325300,3,SHFT,Shifters,G2,G2 Esports,,0
lec_spring_2025,2025-04-21T15:00:00Z,113487475359325229,113487475359325230,1,SK,SK Gaming,RGE,Rogue,,1
lec_spring_2025,2025-04-21T15:00:00Z,113487475359325229,113487475359325231,2,SK,SK Gaming,RGE,Rogue,,1
lec_spring_2025,2025-04-21T15:00:00Z,113487475359325229,113487475359325232,3,SK,SK Gaming,RGE,Rogue,,1
lec_spring_2025,2025-04-21T17:00:00Z,113487475359325261,113487475359325262,1,VIT,Team Vitality,MKOI,Movistar KOI,,1
lec_spring_2025,2025-04-21T17:00:00Z,113487475359325261,113487475359325263,2,VIT,Team Vitality,MKOI,Movistar KOI,,1
lec_spring_2025,2025-04-21T17:00:00Z,113487475359325261,113487475359325264,3,VIT,Team Vitality,MKOI,Movistar KOI,,0
lec_spring_2025,2025-04-26T13:00:00Z,113487475359325317,113487475359325318,1,GX,GIANTX,G2,G2 Esports,,1
lec_spring_2025,2025-04-26T13:00:00Z,113487475359325317,113487475359325319,2,GX,GIANTX,G2,G2 Esports,,1
lec_spring_2025,2025-04-26T13:00:00Z,113487475359325317,113487475359325320,3,GX,GIANTX,G2,G2 Esports,,1
lec_spring_2025,2025-04-26T15:00:00Z,113487475359325337,113487475359325338,1,MKOI,Movistar KOI,FNC,Fnatic,,1
lec_spring_2025,2025-04-26T15:00:00Z,113487475359325337,113487475359325339,2,MKOI,Movistar KOI,FNC,Fnatic,,1
lec_spring_2025,2025-04-26T15:00:00Z,113487475359325337,113487475359325340,3,MKOI,Movistar KOI,FNC,Fnatic,,1
lec_spring_2025,2025-04-27T13:00:00Z,113487475359325353,113487475359325354,1,G2,G2 Esports,FNC,Fnatic,,1
lec_spring_2025,2025-04-27T13:00:00Z,113487475359325353,113487475359325355,2,G2,G2 Esports,FNC,Fnatic,,1
lec_spring_2025,2025-04-27T13:00:00Z,113487475359325353,113487475359325356,3,G2,G2 Esports,FNC,Fnatic,,1
lec_spring_2025,2025-04-27T15:00:00Z,113487475359325305,113487475359325306,1,MKOI,Movistar KOI,GX,GIANTX,,1
lec_spring_2025,2025-04-27T15:00:00Z,113487475359325305,113487475359325307,2,MKOI,Movistar KOI,GX,GIANTX,,1
lec_spring_2025,2025-04-27T15:00:00Z,113487475359325305,113487475359325308,3,MKOI,Movistar KOI,GX,GIANTX,,1
lec_spring_2025,2025-04-28T15:00:00Z,113487475359259661,113487475359259662,1,SK,SK Gaming,TH,Team Heretics,,1
lec_spring_2025,2025-04-28T15:00:00Z,113487475359259661,113487475359259663,2,SK,SK Gaming,TH,Team Heretics,,1
lec_spring_2025,2025-04-28T15:00:00Z,113487475359259661,113487475359259664,3,SK,SK Gaming,TH,Team Heretics,,0
lec_spring_2025,2025-04-28T17:00:00Z,113487475359325249,113487475359325250,1,VIT,Team Vitality,SHFT,Shifters,,1
lec_spring_2025,2025-04-28T17:00:00Z,113487475359325249,113487475359325251,2,VIT,Team Vitality,SHFT,Shifters,,1
lec_spring_2025,2025-04-28T17:00:00Z,113487475359325249,113487475359325252,3,VIT,Team Vitality,SHFT,Shifters,,1
lec_spring_2025,2025-05-03T15:00:00Z,113487475359325289,113487475359325290,1,FNC,Fnatic,SHFT,Shifters,,1
lec_spring_2025,2025-05-03T15:00:00Z,113487475359325289,113487475359325291,2,FNC,Fnatic,SHFT,Shifters,,1
lec_spring_2025,2025-05-03T15:00:00Z,113487475359325289,113487475359325292,3,FNC,Fnatic,SHFT,Shifters,,0
lec_spring_2025,2025-05-03T17:00:00Z,113487475359325241,113487475359325242,1,KC,Karmine Corp,RGE,Rogue,,1
lec_spring_2025,2025-05-03T17:00:00Z,113487475359325241,113487475359325243,2,KC,Karmine Corp,RGE,Rogue,,1
lec_spring_2025,2025-05-03T17:00:00Z,113487475359325241,113487475359325244,3,KC,Karmine Corp,RGE,Rogue,,0
lec_spring_2025,2025-05-04T15:00:00Z,113487475359325277,113487475359325278,1,GX,GIANTX,SHFT,Shifters,,1
lec_spring_2025,2025-05-04T15:00:00Z,113487475359325277,113487475359325279,2,GX,GIANTX,SHFT,Shifters,,1
lec_spring_2025,2025-05-04T15:00:00Z,113487475359325277,113487475359325280,3,GX,GIANTX,SHFT,Shifters,,0
lec_spring_2025,2025-05-04T17:00:00Z,113487475359325273,113487475359325274,1,G2,G2 Esports,VIT,Team Vitality,,1
lec_spring_2025,2025-05-04T17:00:00Z,113487475359325273,113487475359325275,2,G2,G2 Esports,VIT,Team Vitality,,1
lec_spring_2025,2025-05-04T17:00:00Z,113487475359325273,113487475359325276,3,G2,G2 Esports,VIT,Team Vitality,,0
lec_spring_2025,2025-05-05T15:00:00Z,113487475359259669,113487475359259670,1,FNC,Fnatic,TH,Team Heretics,,1
lec_spring_2025,2025-05-05T15:00:00Z,113487475359259669,113487475359259671,2,FNC,Fnatic,TH,Team Heretics,,1
lec_spring_2025,2025-05-05T15:00:00Z,113487475359259669,113487475359259672,3,FNC,Fnatic,TH,Team Heretics,,0
lec_spring_2025,2025-05-05T17:00:00Z,113487475359325321,113487475359325322,1,MKOI,Movistar KOI,SK,SK Gaming,,1
lec_spring_2025,2025-05-05T17:00:00Z,113487475359325321,113487475359325323,2,MKOI,Movistar KOI,SK,SK Gaming,,1
