gameid,date,game_num,blue,red,url
LOLTMNT02_267104,2025-05-14 13:03:21,3,Dplus Kia,DRX,
LOLTMNT02_268237,2025-05-15 08:06:53,1,KT Rolster,Hanwha Life Esports,
LOLTMNT02_268242,2025-05-15 09:01:56,2,KT Rolster,Hanwha Life Esports,
LOLTMNT02_268252,2025-05-15 09:54:38,3,Hanwha Life Esports,KT Rolster,
LOLTMNT02_268294,2025-05-15 11:18:14,1,T1,HANJIN BRION,
LOLTMNT02_268312,2025-05-15 12:18:56,2,HANJIN BRION,T1,
LOLTMNT02_268334,2025-05-15 13:15:17,3,T1,HANJIN BRION,
LOLTMNT02_268539,2025-05-16 08:07:23,1,Dplus Kia,BNK FEARX,
LOLTMNT02_267792,2025-05-16 09:02:03,2,BNK FEARX,Dplus Kia,
LOLTMNT02_267812,2025-05-16 10:15:50,1,DN SOOPers,Gen.G,
LOLTMNT02_267818,2025-05-16 11:02:23,2,DN SOOPers,Gen.G,
LOLTMNT02_267967,2025-05-17 06:06:29,1,DRX,Nongshim RedForce,
LOLTMNT02_267969,2025-05-17 06:58:31,2,DRX,Nongshim RedForce,
LOLTMNT02_268713,2025-05-17 07:47:44,3,Nongshim RedForce,DRX,
LOLTMNT02_268769,2025-05-17 09:01:31,1,KT Rolster,HANJIN BRION,
LOLTMNT02_268811,2025-05-17 09:53:30,2,HANJIN BRION,KT Rolster,
LOLTMNT02_269084,2025-05-17 10:41:19,3,KT Rolster,HANJIN BRION,
LOLTMNT02_269294,2025-05-18 06:04:32,1,Hanwha Life Esports,DN SOOPers,
LOLTMNT02_270047,2025-05-18 07:02:00,2,DN SOOPers,Hanwha Life Esports,
LOLTMNT02_269313,2025-05-18 08:21:01,1,Gen.G,T1,
LOLTMNT02_270074,2025-05-18 09:22:19,2,T1,Gen.G,
LOLTMNT03_241129,2025-05-21 08:06:27,1,Gen.G,Hanwha Life Esports,
LOLTMNT03_241144,2025-05-21 08:57:00,2,Hanwha Life Esports,Gen.G,
LOLTMNT03_241162,2025-05-21 10:07:37,3,Gen.G,Hanwha Life Esports,
LOLTMNT03_241226,2025-05-21 11:23:37,1,DN SOOPers,DRX,
LOLTMNT03_240814,2025-05-21 12:20:07,2,DRX,DN SOOPers,
LOLTMNT03_242206,2025-05-22 08:07:11,1,HANJIN BRION,Dplus Kia,
LOLTMNT03_242218,2025-05-22 08:56:33,2,Dplus Kia,HANJIN BRION,
LOLTMNT03_241674,2025-05-22 10:12:41,1,T1,BNK FEARX,
LOLTMNT03_242254,2025-05-22 11:01:39,2,BNK FEARX,T1,
LOLTMNT03_243096,2025-05-23 08:07:24,1,Gen.G,DRX,
LOLTMNT03_242638,2025-05-23 08:55:39,2,DRX,Gen.G,
LOLTMNT03_243145,2025-05-23 10:20:15,1,Nongshim RedForce,KT Rolster,
LOLTMNT03_243166,2025-05-23 11:16:42,2,Nongshim RedForce,KT Rolster,
LOLTMNT03_242726,2025-05-23 12:06:13,3,KT Rolster,Nongshim RedForce,
LOLTMNT03_244183,2025-05-24 06:04:59,1,Hanwha Life Esports,Dplus Kia,
LOLTMNT03_243654,2025-05-24 06:57:37,2,Hanwha Life Esports,Dplus Kia,
LOLTMNT03_243679,2025-05-24 07:49:35,3,Hanwha Life Esports,Dplus Kia,
LOLTMNT03_244289,2025-05-24 09:07:30,1,DN SOOPers,T1,
LOLTMNT03_243757,2025-05-24 09:55:14,2,DN SOOPers,T1,
LOLTMNT03_245295,2025-05-25 06:04:05,1,HANJIN BRION,Nongshim RedForce,
LOLTMNT03_244865,2025-05-25 06:59:30,2,Nongshim RedForce,HANJIN BRION,
LOLTMNT03_245333,2025-05-25 07:47:29,3,HANJIN BRION,Nongshim RedForce,
LOLTMNT03_244928,2025-05-25 09:10:27,1,BNK FEARX,KT Rolster,
LOLTMNT03_244951,2025-05-25 10:01:46,2,KT Rolster,BNK FEARX,
LOLTMNT03_244968,2025-05-25 11:00:15,3,BNK FEARX,KT Rolster,
LOLTMNT03_248140,2025-05-28 08:03:32,1,BNK FEARX,DN SOOPers,
LOLTMNT03_248153,2025-05-28 09:00:47,2,DN SOOPers,BNK FEARX,
LOLTMNT03_247772,2025-05-28 09:51:09,3,BNK FEARX,DN SOOPers,
LOLTMNT03_248249,2025-05-28 11:13:02,1,T1,Hanwha Life Esports,
LOLTMNT03_250029,2025-05-28 12:09:20,2,T1,Hanwha Life Esports,
LOLTMNT03_250487,2025-05-29 08:06:13,1,DRX,HANJIN BRION,
