gameid,date,game_num,blue,red,url
LOLTMNT06_122091,2025-05-29 18:43:23,4,BK ROG Esports,Karmine Corp Blue,
LOLTMNT06_123084,2025-05-29 19:46:33,5,BK ROG Esports,Karmine Corp Blue,
LOLTMNT04_126159,2025-07-23 16:08:33,1,Team BDS Academy,BK ROG Esports,
LOLTMNT04_126178,2025-07-23 17:02:57,2,BK ROG Esports,Team BDS Academy,
LOLTMNT04_126185,2025-07-23 17:59:40,3,Team BDS Academy,BK ROG Esports,
LOLTMNT04_125151,2025-07-23 18:57:57,1,Karmine Corp Blue,Joblife,
LOLTMNT04_125158,2025-07-23 19:48:11,2,Joblife,Karmine Corp Blue,
LOLTMNT04_125161,2025-07-23 20:52:01,3,Karmine Corp Blue,Joblife,
LOLTMNT04_125197,2025-07-24 16:07:20,1,GameWard,Team BDS Academy,
LOLTMNT04_125196,2025-07-24 16:08:30,1,BK ROG Esports,Joblife,
LOLTMNT04_125222,2025-07-24 17:01:05,2,GameWard,Team BDS Academy,
LOLTMNT04_125224,2025-07-24 17:08:40,2,Joblife,BK ROG Esports,
LOLTMNT04_126277,2025-07-24 17:55:58,1,Ici Japon Corp. Esport,Galions,
LOLTMNT04_125236,2025-07-24 17:57:27,3,BK ROG Esports,Joblife,
LOLTMNT04_125240,2025-07-24 18:45:21,2,Ici Japon Corp. Esport,Galions,
LOLTMNT04_126287,2025-07-24 18:51:29,1,Karmine Corp Blue,Solary,
LOLTMNT04_126290,2025-07-24 19:45:45,2,Solary,Karmine Corp Blue,
LOLTMNT04_127001,2025-07-24 20:49:46,3,Karmine Corp Blue,Solary,
LOLTMNT04_127034,2025-07-25 16:07:13,1,Gentle Mates,GameWard,
LOLTMNT04_125288,2025-07-25 17:01:09,2,GameWard,Gentle Mates,
LOLTMNT04_125294,2025-07-25 17:52:47,3,Gentle Mates,GameWard,
LOLTMNT04_125308,2025-07-25 18:59:55,1,Vitality.Bee,Solary,
LOLTMNT04_127059,2025-07-25 20:00:21,2,Solary,Vitality.Bee,
LOLTMNT04_127229,2025-07-30 16:08:12,1,Gentle Mates,Vitality.Bee,
LOLTMNT04_125504,2025-07-30 17:23:14,2,Vitality.Bee,Gentle Mates,
